Nama,Retail Price,Discount,Final Price,link
CW620NJ/TV150NRNV3N,10327500,0.2,8262000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-hung-toilet/cw620nj-tv150nrnv3
CW620NJ,6525000,0.2,5220000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-hung-toilet/cw620nj
CW274J,11437500,0.2,9150000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-hung-toilet/cw274j
CW253J/Dual Flush,9690000,0.2,7752000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-hung-toilet/cw253j-dualflush
CW253J,8557500,0.2,6846000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-hung-toilet/cw253j
CW824NPJ/TV150NRNV3N,10695000,0.2,8556000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-face-toilet/cw824npj-tv150nrnv3
CW275PJ,9420000,0.2,7536000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-face-toilet/cw275pj
CW813PJ,8842500,0.2,7074000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-face-toilet/cw813pj
CW254PJ,7027500,0.2,5622000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-face-toilet/cw254pj
CW824NPJ,6465000,0.2,5172000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-wall-face-toilet/cw824npj
CW425J/TV150NLJ,7470000,0.2,5976000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-toilet-com/cw425j-tv150nlj
CW705ELNJ/TV150NSV7J,5872500,0.2,4698000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-toilet-com/cw705elnj-tv150nsv7j
CW705ENJ/TV150NSV7J,5677500,0.2,4542000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-toilet-com/cw705enj-tv150nsv7j
C51/T150NL,4162500,0.2,3330000,https://www.toto.co.id/product/sanitary-ware/toilet/single-bowl-toilet-com/c51-t150nl
CE9/TV150NWV12J,3930000,0.2,3144000,https://www.toto.co.id/product/sanitary-ware/toilet/squatting-toilet/ce9-tv150nwv12j
CW10J,1635000,0.2,1308000,https://www.toto.co.id/product/sanitary-ware/toilet/squatting-toilet/cw10j
CE6,603000,0.2,482400,https://www.toto.co.id/product/sanitary-ware/toilet/squatting-toilet/ce6
CE7,361500,0.2,289200,https://www.toto.co.id/product/sanitary-ware/toilet/squatting-toilet/ce7
TCF34320GAA,26850000,0.2,21480000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcf34320gaa
TCF47360GAA,20850000,0.2,16680000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcf47360gaa
TCF24410AAA,15750000,0.2,12600000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcf24410aaa
TCF33320GAA,13500000,0.2,10800000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcf33320gaa
TCF23410AAA,12525000,0.2,10020000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcf23410aaa
TCF23710AAA,10275000,0.2,8220000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcf23710aaa
TCW04SL,3952500,0.2,3162000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw04sl
TCW04S,3952500,0.2,3162000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw04s
TCW06S,3765000,0.2,3012000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw06s
TCW06SL,3765000,0.2,3012000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw06sl
TCW10S,3000000,0.2,2400000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw10s
TCW09S,2647500,0.2,2118000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw09s
TCW08S,1537500,0.2,1230000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw08s
TCW07S,1312500,0.2,1050000,https://www.toto.co.id/product/sanitary-ware/washlet/washlet/tcw07s
TC950SJ,950000,0.2,760000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc950sj
TC934S,1030000,0.2,824000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc934s
TC880SJ,850000,0.2,680000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc880sj
TC840SJ,850000,0.2,680000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc840sj
TC811SJ,920000,0.2,736000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc811sj
TC800SJ,850000,0.2,680000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc800sj
TC635SJ,850000,0.2,680000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc635sj
TC505S,500000,0.2,400000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc505s
TC505,287000,0.2,229600,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc505
TC365,687000,0.2,549600,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc365
TC364,672000,0.2,537600,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc364
TC30A,3900000,0.2,3120000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc30a
TC282SJ,880000,0.2,704000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc282sj
TC281SJ,880000,0.2,704000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc281sj
TC280,856000,0.2,684800,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc280
TC273SJ,1070000,0.2,856000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc273sj
TC252SJ,900000,0.2,720000,https://www.toto.co.id/product/supplementary/closet/seat-cover/tc252sj
